lang,query,url,title,error,desktop_error,author,author_error,group_author,group_author_error,message,case_date
uk,Шакіра,https://vk.com/video-4088297_155636028,SHAKIRA! SUERTE!,Video sound unavailable.,"",https://vk.com/id26422509,"",https://vk.com/ukrmova,"",,
uk,Шакіра,https://vk.com/video229486113_169040279,Шакіра - Loka (іспанська версія),Video sound unavailable.,"",https://vk.com/prilyuk99,"","","",,
uk,Шакіра,https://vk.com/video84684510_145761386,SHAKIRA - Gypsy,Video sound unavailable.,"",https://vk.com/id84684510,"","","",,
uk,Шакіра,https://vk.com/video26059274_159213457,Шакіра відпочіває...,This video is unavailable in your country,This video is unavailable in your country Back,https://vk.com/id26059274,"","","",,
uk,Шакіра,https://vk.com/video85308624_160926078,Шакіра,Video sound unavailable.,"",https://vk.com/id85308624,"","","",,
ka,რიანა,https://vk.com/video243891102_456239079,სოლოხუთეული-მექისე შაქრო ft. Rihanna-იღბალი (უნდა გავხეხო რიანა)(360P)_1.mp4,Video sound unavailable.,"",https://vk.com/id243891102,"","","",,
ka,რიანა,https://vk.com/video243891102_456239080,სოლოხუთეული-მექისე შაქრო ft. Rihanna-იღბალი (უნდა გავხეხო რიანა)(360P)_1.mp4,Video sound unavailable.,"",https://vk.com/id243891102,"","","",,
ka,რიანა,https://vk.com/video151849967_165483985,რიანა - ვს შოუ daemonds,This video is unavailable in your country,This video is unavailable in your country Back,https://vk.com/beka.baliauri,"","","",,
ka,რიანა,https://vk.com/video243891102_456239078,სოლოხუთეული-მექისე შაქრო ft. Rihanna-იღბალი (უნდა გავხეხო რიანა)(360P)_1.mp4,Video sound unavailable.,"",https://vk.com/id243891102,"","","",,
ka,რიანა,https://vk.com/video243891102_456239077,სოლოხუთეული-მექისე შაქრო ft. Rihanna-იღბალი (უნდა გავხეხო რიანა)(360P)_1.mp4,Video sound unavailable.,"",https://vk.com/id243891102,"","","",,
uk,Попмузика,https://vk.com/video-135248580_456239056,EMIN - Неба не боялись (Official Video),This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/club135248580,"",,
uk,Попмузика,https://vk.com/video-135248580_456239069,Полина Гагарина - Меланхолия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/club135248580,"",,
uk,Попмузика,https://vk.com/video-135248580_456239067,Drenchill ft. Indiiana - Freed from Desire (Official Video),Video sound unavailable.,"","","",https://vk.com/club135248580,"",,
uk,Попмузика,https://vk.com/video-135248580_456239097,Зомб__Slame_-_Больше_ни_слова_(MOOD_VIDEO),This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/club135248580,"",,
uk,Попмузика,https://vk.com/video-135248580_456239068,On i Ona - Точка G (Official Lyric Video),This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/club135248580,"",,
