lang,query,url,title,error
uk,Правий сектор,https://vk.com/id315585161,Praviy-Sektor Zakarpattya,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id287586663,Praviy-Sektor Shishaki-Ray-Org,"Этот материал заблокирован на территории РФ Ваша страница заблокирована за размещение информации, запрещённой правилами сайта."
uk,Правий сектор,https://vk.com/id241957654,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id253532397,Praviy-Sektor Peremishlyani,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id303491180,Pravy Sektor,"Этот материал заблокирован на территории РФ Вашу сторінку заблоковано за розміщення інформації, забороненої правилами сайту."
uk,Правий сектор,https://vk.com/id257667002,Praviy-Sektor Praviy-Sektor,"Этот материал заблокирован на территории РФ Ваша страница заблокирована за размещение информации, запрещённой правилами сайта."
uk,Правий сектор,https://vk.com/id459902176,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id247366231,Praviy-Sektor Chechelnik,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/ukrop24,Praviy-Sektor Dikanka-Rayorg,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/drogobych_ps,Drogobich Praviy-Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id244694134,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id289687245,Praviy-Sektor Kolomia,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id248075744,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id297537442,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id284720470,Praviy-Sektor Karlivka,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/pszak,Pravy Sektor,Этот материал заблокирован на территории РФ на основании требования Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id406055235,Praviy-Sektor Kolomia,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
uk,Правий сектор,https://vk.com/id366480496,Pravy Sektor,Этот материал заблокирован на территории РФ согласно требованию Генеральной прокуратуры Российской Федерации от 12.03.2015 № 27-31-2015/Ид831-15
ru,Гей порнография,https://vk.com/id755633684,Gey Pornografia,""
ru,Гей порнография,https://vk.com/id584483578,Gey Pornografia,""
ru,Enola Gay,https://vk.com/id711503654,Enola Gay,""
ru,Enola Gay,https://vk.com/enolaboom,Enola Gay,""
ru,Enola Gay,https://vk.com/id200137444,Enola Gay,""
ru,Enola Gay,https://vk.com/id373189014,Enola Gay,""
ru,Enola Gay,https://vk.com/id522423058,Enola Gay,""
ru,Enola Gay,https://vk.com/id282508799,Enola Gay,""
ru,Enola Gay,https://vk.com/id371768044,Enola Gay,""
ru,Enola Gay,https://vk.com/id448486697,Enola Gay,""
ru,Enola Gay,https://vk.com/id264918384,Enola Gay,""
ru,Enola Gay,https://vk.com/enola_gay1991,Enola Gay,""
ru,Enola Gay,https://vk.com/id465872695,Enola Gay,""
ru,Enola Gay,https://vk.com/id264369065,Enola Gay,""
ru,Enola Gay,https://vk.com/enlgy,Enola Gay,""
ru,Enola Gay,https://vk.com/id177469719,Enola Gay,""
uk,Фембой,https://vk.com/hollowthecutie,Femboy Faggot,""
uk,Фембой,https://vk.com/id744153860,Aesthetic Femboy,""
uk,Фембой,https://vk.com/nereczki,Feliks Uwu-Femboy,""
uk,Фембой,https://vk.com/id641260956,Yeri Femboy,""
uk,Фембой,https://vk.com/id794975485,Noor Femboy,""
uk,Фембой,https://vk.com/id665818974,Femboy Sexy,""
uk,Фембой,https://vk.com/id789540240,Femboy Delivery,""
uk,Фембой,https://vk.com/id741185381,Femboy Uwu,""
uk,Фембой,https://vk.com/id527650978,Trap Femboy,""
uk,Фембой,https://vk.com/id640746188,Twoy Femboy,""
uk,Фембой,https://vk.com/id786675680,Komol Femboy,""
uk,Фембой,https://vk.com/id602760437,Femboy Hooters,""
