count,message,machine_translation,case_date
4,Access to this video has been restricted by its creator,,
111589,This video is unavailable because its creator has been blocked,,
8,This video is unavailable in your country,,
10,Этот материал заблокирован на территории РФ на основании решения Министерства внутренних дел Российской Федерации от 13.07.2018 № 13659,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Ministry of Internal Affairs of the Russian Federation from 13.07.2018 № 13659,"Jul 13, 2018"
35,Этот материал заблокирован на территории РФ на основании решения Министерства внутренних дел Российской Федерации от 13.09.2018 № 2018-07-16-1011,This material is blocked on the territory of the Russian Federation on the basis of the decision of the Ministry of Internal Affairs of the Russian Federation from 13.09.2018 № 2018-07-16-1011,"Sep 13, 2018"
3,Этот материал заблокирован на территории РФ на основании решения суда (Дзержинский районный суд г. Волгограда - Волгоградская область) от 07.02.2017 № 2-3568/17,This material is blocked on the territory of the Russian Federation based on the court decision (Dzerzhinsky District Court of Volgograd - Volgograd region) from 07.02.2017 № 2-3568/17,"Feb 7, 2017"
9,Этот материал заблокирован на территории РФ на основании решения суда (Ленинский районный суд г. Грозного - Чеченская Республика) от 13.03.2018 № 2-481/2018,This material is blocked on the territory of the Russian Federation on the basis of a court decision (Leninsky District Court of Grozny - Chechen Republic) from 13.03.2018 № 2-481/2018,"Mar 13, 2018"
8,Этот материал заблокирован на территории РФ на основании решения суда (Ленинский районный суд г. Грозного - Чеченская Республика) от 14.10.2016 № 2-2667/2016,This material is blocked on the territory of the Russian Federation on the basis of a court decision (Leninsky District Court of Grozny - Chechen Republic) from 14.10.2016 № 2-2667/2016,"Oct 14, 2016"
1,Этот материал заблокирован на территории РФ на основании решения суда (Ленинский районный суд г. Омска - Омская область) от 13.09.2016 № 2-6222/16,This material is blocked on the territory of the Russian Federation on the basis of the court decision (Leninsky District Court of Omsk - Omsk region) from 13.09.2016 № 2-6222/16,"Sep 13, 2016"
1,Этот материал заблокирован на территории РФ на основании решения суда (Октябрьский районный суд г. Краснодара - Краснодарский край) от 19.04.2016,This material is blocked on the territory of the Russian Federation based on the court decision (Oktyabrsky District Court of Krasnodar - Krasnodar region) from 19.04.2016,"Apr 19, 2016"
